Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10216.14879,10351.11461,10552.1107,10820.19218,11021.30786,11240.53369,11514.03171,11843.96044,11898.62611,12351.53758,12686.32486,12872.47763,13248.6651,13942.5034,14410.07448,14804.4098,15711.14537,16140.36158,16259.49098,15614.81091,15732.21275,15833.10987,15924.86124,15982.33108,15949.25081,15965.04668,15673.16188,15612.36647,15826.72846,15852.19575,14724.90227
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29669.86461,30562.31835,30646.14873,30107.17996,29653.96471,29102.86384,28829.01689,28963.40996,29227.07658,28883.10378,28543.36071,28313.04862,28040.03605,27503.78944,26826.59238,26548.7,26009.528,25475.48966,25054.89523,24494.34261,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80305.02637,80387.00286,77786.05462,70246.09037,66709.34675,66084.09393,65664.63878,65428.34551,66155.16515,67067.19366,68307.19937,69572.49685,71598.197,73443.06174,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25286.28338,24822.34506,26442.70681,25992.48599,26962.57782,28692.37252,28591.26473,28933.28046,30327.21182,31488.62286,33013.98251,33950.95983,34813.67667,35295.36498,36576.87309,37803.57553,38930.61305,40053.41379,40484.61491,38618.00937,38379.0904,37562.44914,35719.3218,33456.28909,33207.77071,34472.29851,36523.73321,38050.85774,39559.48796,40226.80949,37655.18035
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23585.18149,20895.87976,20768.78817,20760.05425,21356.3128,22758.59681,23756.97839,23659.32079,23597.30618,23948.38503,24976.50632,25833.41467,26289.62614,27239.55944,28542.25482,30384.44665,32352.81297,33956.24598,34580.44335,32782.61235,33483.13759,34002.18978,33688.09983,33661.46842,34386.70491,36168.41856,37014.95929,38824.88792,39932.99219,40981.05651,38509.26691
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36617.48198,38208.59215,38648.39075,38020.08993,38794.69384,39278.13076,39480.19211,40128.98364,40930.95549,41676.48338,42832.26448,43479.27079,43320.29826,42993.19658,43507.84894,43851.0898,45576.0208,46995.37015,47536.7708,44943.84095,46894.22692,49646.74722,49761.01466,49842.55832,50731.91996,51044.98936,51763.75491,52952.87502,53367.3319,53809.14125,51259.23956
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028.43237,4238.944355,4488.802658,4709.523889,4885.205039,5214.072187,5534.766172,5481.114817
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775.437361,7885.270711,8026.022726,8168.005422,8144.829448,8384.488924,8665.722436,8897.898208,9287.53573,9367.805224,9611.53337,9602.501686,9308.363873,9862.737606,10122.46625,10160.99441,10613.68924,11275.37812,12072.84744,11928.44473,12003.76608,11971.02013,11837.236,11708.145,12216.53184,11873.74184,12154.75144,11304.04333,11537.01907,11905.87052,9891.29194
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39027.97874,39469.32281,40108.89195,39979.75738,41969.68871,43015.67751,44013.38559,45260.13712,46096.36972,47298.53735,48907.0114,49133.2231,49204.89901,49262.64497,50446.5416,51483.27379,53322.289,53569.02802,52982.53174,50114.05005,50825.41229,51293.20618,51216.30941,51479.26645,52048.33549,52892.64603,54185.00848,55356.68078,56178.77463,57161.68639,55819.90953
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6203.20781,6143.848158,6706.026132,7068.107888,7122.376245,7396.841992,7707.395196,8255.564811,8670.437847,9043.597783,9322.139196,9410.032484,9690.598875,9424.795253,9533.318944,10291.30322,11087.48196,11756.46662,11980.83946,11944.34813,12782.45717,13024.32852,13219.69413,13702.32121,14499.63041,15328.35951,16166.61153,16735.36442,17711.79553,18412.89999,17003.01302
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8746.351882,8431.388541,8383.769007,8027.376107,7792.084354,7935.179014,8116.959947,8074.759681,8360.151446,8506.345679,8710.455149,8855.020186,9232.427523,9771.684856,10058.43902,10504.85847,10527.42208,10717.78446,10796.90256,10782.36109,10970.70637,11078.24233,11233.53132,11319.09706,11512.70511,11696.96523,11826.16642,11737.41616,11642.19835,11510.55709,10681.6793
