Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Armenia,49.07,27.74,70.86,48.33,40.68,13.39,26.09,73.03,-
Colombia,47.71,36.08,43.12,68.92,38.92,14.35,44.55,61.41,-
Thailand,47.37,38.75,62.94,82.47,46.52,20.76,42.36,72.81,-
Kazakhstan,47.00,43.48,53.32,58.86,54.27,12.73,41.80,73.69,-
Ecuador,44.52,28.00,45.96,63.08,45.57,14.67,45.67,53.20,-
Dominican Republic,43.60,28.20,32.28,78.70,55.95,11.45,27.50,65.32,-
Moldova,42.13,23.70,50.30,52.69,34.72,17.07,24.60,57.24,-
Jordan,38.61,38.67,54.49,69.71,61.38,8.58,51.40,85.64,-
Philippines,36.95,35.41,56.89,71.66,40.00,18.52,45.50,74.17,-
Lebanon,32.81,50.17,48.02,65.78,67.61,16.21,32.43,89.11,-
Brazil,29.84,41.16,31.05,52.15,55.33,16.70,46.34,58.03,-
North Macedonia,28.85,35.48,63.94,35.12,37.41,15.38,33.17,82.31,-
Russia,28.38,38.86,48.67,51.80,61.91,14.60,47.08,72.77,-
Indonesia,22.70,26.01,52.78,66.09,39.35,18.93,41.63,74.41,-
Pakistan,21.82,33.21,38.84,51.16,30.71,14.32,25.14,83.73,-
Ukraine,20.10,27.87,50.64,44.27,41.29,17.38,40.04,69.85,-
China,15.99,48.64,58.25,58.74,48.89,26.42,37.48,89.36,-
Kenya,7.32,28.74,27.39,62.70,50.01,16.75,65.20,62.20,-
Bolivia,6.55,41.10,34.40,49.75,40.02,10.33,55.00,94.05,-
Nigeria,2.99,40.23,23.40,38.40,59.40,10.74,58.67,76.29,-
Iran,1.07,30.65,49.10,50.12,44.53,20.78,47.44,82.28,-
Cambodia,-4.40,11.93,55.94,54.17,57.05,21.11,33.33,80.06,-
Bangladesh,-5.36,33.43,35.75,43.25,39.22,10.90,58.00,93.59,-
Egypt,-7.07,25.84,39.86,54.69,37.22,11.33,56.85,96.62,-
Vietnam,-19.52,21.32,47.71,34.26,41.86,23.92,36.40,84.34,-
Mongolia,-35.74,23.50,29.75,28.29,52.28,18.63,36.86,94.55,-
Venezuela,-53.04,11.90,15.93,38.52,111.01,22.23,30.60,79.19,-
